S1	S2	S3
8	2	1
0	5	0
0	0	1
5	2	5
1	2	1
0	1	0
9	7	5
26	31	25
2	4	3
10	15	6
0	0	1
34	26	30
32	26	27
50	47	54
52	50	54
156	131	156
592	486	508
559	437	468
124	119	107
424	326	390
1558	1253	1288
2	2	5
4	1	2
3	5	0
6	5	2
159	153	147
177	168	206
2	0	3
3	1	3
1	1	1
4	11	7
6	7	7
14	7	18
42	44	40
6	2	6
10	12	10
2	5	4
18	15	14
3	0	3
4	3	8
71	51	53
12	13	8
67	56	51
170	166	165
233	215	204
0	0	0
48	79	68
65	47	51
91	91	87
2	2	5
16	14	16
43	38	39
34	23	28
69	65	73
35	26	31
3	2	1
5	4	1
32	21	17
0	0	1
2	2	1
8	3	5
0	2	2
0	0	1
11	18	13
15	13	9
28	31	40
180	130	123
104	86	89
197	154	183
7	10	11
95	90	108
31	23	33
1	3	0
5	1	3
74	53	82
82	75	88
279	220	239
24	7	17
1687	1373	1545
3	3	2
19	21	14
7	13	16
26	9	23
34	35	30
14	12	18
213	218	220
10	6	20
26	23	33
1	3	2
12	10	11
44	42	51
53	46	49
2	2	4
2	1	0
2	0	2
3	4	5
113	86	94
85	63	67
8	3	7
7	8	5
14	16	18
8	13	5
6	4	8
514	425	530
288	225	278
25	28	37
2	1	0
79	84	57
105	100	84
340	277	315
25	22	16
496	333	389
29	31	38
81	63	94
5	10	5
0	0	0
3	4	2
2	3	2
94	72	66
302	199	252
1303	948	1017
48	46	57
607	478	543
81	93	71
4	7	2
10	4	6
2	3	2
12	6	3
9	9	6
9	9	2
8	4	10
1	1	3
0	6	2
16	10	12
79	69	82
29	15	17
8	5	5
10	6	7
26	16	25
4	8	4
7	15	6
63	52	46
71	49	61
22	21	21
73	55	67
2	1	1
8	19	16
0	0	1
0	0	0
0	1	0
176	128	153
673	649	589
30	35	33
5	3	5
1	0	2
3	9	11
65	51	53
107	83	81
0	0	0
63	52	64
173	164	193
74	58	65
2	5	2
2	3	0
47	30	46
75	37	55
7	2	3
6	5	7
31	24	30
81	54	64
75	64	50
12	3	10
48	27	33
1076	959	1063
120	69	103
80	65	85
1	1	2
8	7	10
13	4	6
0	0	0
4	5	10
21	24	24
21	12	14
24	22	27
44	38	35
1	0	0
4	5	4
3	0	0
6	5	4
7	8	11
27	17	9
0	0	0
17	17	15
11	8	9
2	0	2
9	5	8
368	264	284
18	5	10
66	44	51
12	4	5
403	350	438
154	120	139
7	12	7
1	1	0
403	350	438
508	494	483
147	99	143
23	27	29
497	480	468
147	99	143
20	23	23
28	22	31
1	5	4
8	2	1
24	36	22
69	67	68
112	108	111
182	148	154
28	25	32
4	8	6
4	6	6
106	111	111
102	86	97
65	49	56
46	38	43
7	10	8
15	13	7
27	15	32
65	44	42
8	7	5
20	27	20
5	3	4
39	29	36
22	6	3
9	5	10
4	6	6
159	142	141
68	38	46
180	191	148
200	260	252
27	22	40
62	49	63
188	157	167
48	46	43
43	43	59
95	87	80
122	82	106
2	0	0
6	5	7
12	12	9
4	7	12
317	233	290
522	456	535
107	92	101
140	111	135
96	64	75
3	1	4
31	22	21
26	34	46
106	78	123
141	104	154
8	5	7
367	307	315
60	51	60
7	1	4
35	30	35
9	7	11
8	6	5
75	80	87
78	67	72
72	73	96
24	9	14
479	362	412
22	29	36
81	83	67
8	6	13
15	18	16
1826	1699	1908
33	21	36
76	75	68
59	55	57
205	184	179
42	36	37
100	86	74
311	251	287
15	14	24
3	2	5
36	31	30
128	112	135
4453	4018	4226
1654	1578	1634
31	22	33
17	13	10
13	7	10
31	23	38
4	2	5
0	1	0
16	13	15
6	6	3
232	208	197
